期數,月報名稱,提送次數,契約提送期限,實際提送日,提送文號,逾期狀況,機關回覆日,機關回覆文號,審查結果,補充說明
1,112年01月份專管工作月報,1,112年02月07日,112年02月03日,甲公司112字第0018號,無逾期,112年02月12日,機關工字第112100415號,機關同意備查,
2,112年02月份專管工作月報,1,112年03月07日,112年03月07日,甲公司112字第0021號,無逾期,112年03月18日,機關工字第112100437號,機關同意備查,
3,112年03月份專管工作月報,1,112年04月07日,112年04月07日,甲公司112字第0028號,無逾期,112年04月12日,機關工字第112100492號,機關同意備查,
4,112年04月份專管工作月報,1,112年05月07日,112年05月07日,甲公司112字第0034號,無逾期,112年05月15日,機關工字第112100540號,機關同意備查,
5,112年05月份專管工作月報,1,112年06月07日,112年06月03日,甲公司112字第0043號,無逾期,112年06月10日,機關工字第112100604號,機關同意備查,
6,112年06月份專管工作月報,1,112年07月07日,112年07月04日,甲公司112字第0052號,無逾期,112年07月14日,機關工字第112100630號,機關同意備查,
7,112年07月份專管工作月報,1,112年08月07日,112年08月10日,甲公司112字第0059號,逾期3日,112年08月19日,機關工字第112100701號,機關同意備查,契約無罰則
8,112年08月份專管工作月報,1,112年09月07日,112年09月03日,甲公司112字第0065號,無逾期,112年09月09日,機關工字第112100756號,機關同意備查,
9,112年09月份專管工作月報,1,112年10月07日,112年10月05日,甲公司112字第0072號,無逾期,112年10月13日,機關工字第112100821號,機關同意備查,
10,112年10月份專管工作月報,1,112年11月07日,112年11月05日,甲公司112字第0075號,無逾期,112年11月13日,機關工字第112100896號,機關同意備查,
11,112年11月份專管工作月報,1,112年12月07日,112年12月05日,甲公司112字第0079號,無逾期,112年12月15日,機關工字第112100938號,機關同意備查,
12,112年12月份專管工作月報,1,113年01月07日,113年01月03日,甲公司113字第0086號,無逾期,113年01月10日,機關工字第113100992號,機關審退,內容應補正
12,112年12月份專管工作月報,2,113年01月07日,113年01月15日,甲公司113字第0087號,—,113年01月22日,機關工字第113101036號,機關同意備查,修正後同意備查
13,113年01月份專管工作月報,1,113年02月07日,113年02月07日,甲公司113字第0091號,無逾期,113年02月17日,機關工字第113101109號,機關審退,內容應補正
13,113年01月份專管工作月報,2,113年02月07日,113年02月21日,甲公司113字第0092號,—,113年02月25日,機關工字第113101138號,機關同意備查,修正後同意備查
14,113年02月份專管工作月報,1,113年03月07日,113年03月06日,甲公司113字第0097號,無逾期,113年03月12日,機關工字第113101171號,機關審退,內容應補正
14,113年02月份專管工作月報,2,113年03月07日,113年03月20日,甲公司113字第0098號,—,113年03月25日,機關工字第113101206號,機關同意備查,修正後同意備查
15,113年03月份專管工作月報,1,113年04月07日,113年04月06日,甲公司113字第0106號,無逾期,113年04月18日,機關工字第113101235號,機關同意備查,
16,113年04月份專管工作月報,1,113年05月07日,113年05月07日,甲公司113字第0113號,無逾期,113年05月16日,機關工字第113101302號,機關同意備查,
17,113年05月份專管工作月報,1,113年06月07日,113年06月06日,甲公司113字第0118號,無逾期,113年06月14日,機關工字第113101330號,機關同意備查,
18,113年06月份專管工作月報,1,113年07月07日,113年07月08日,甲公司113字第0127號,逾期1日,113年07月14日,機關工字第113101359號,機關同意備查,契約無罰則
19,113年07月份專管工作月報,1,113年08月07日,113年08月06日,甲公司113字第0134號,無逾期,113年08月12日,機關工字第113101403號,機關同意備查,
20,113年08月份專管工作月報,1,113年09月07日,113年09月07日,甲公司113字第0139號,無逾期,113年09月12日,機關工字第113101466號,機關審退,內容應補正
20,113年08月份專管工作月報,2,113年09月07日,113年09月20日,甲公司113字第0140號,—,113年09月28日,機關工字第113101498號,機關同意備查,修正後同意備查
21,113年09月份專管工作月報,1,113年10月07日,113年10月05日,甲公司113字第0146號,無逾期,113年10月12日,機關工字第113101547號,機關同意備查,
22,113年10月份專管工作月報,1,113年11月07日,113年11月05日,甲公司113字第0153號,無逾期,113年11月12日,機關工字第113101599號,機關審退,內容應補正
22,113年10月份專管工作月報,2,113年11月07日,113年11月18日,甲公司113字第0154號,—,113年11月26日,機關工字第113101646號,機關同意備查,修正後同意備查
23,113年11月份專管工作月報,1,113年12月07日,113年12月05日,甲公司113字第0163號,無逾期,113年12月12日,機關工字第113101700號,機關審退,內容應補正
23,113年11月份專管工作月報,2,113年12月07日,113年12月20日,甲公司113字第0164號,—,113年12月28日,機關工字第113101715號,機關審退,仍有缺漏，再退
23,113年11月份專管工作月報,3,113年12月07日,113年12月26日,甲公司113字第0165號,—,113年12月28日,機關工字第113101761號,機關同意備查,修正後同意備查
24,113年12月份專管工作月報,1,114年01月07日,114年01月10日,甲公司114字第0174號,逾期3日,114年01月19日,機關工字第114101796號,機關同意備查,契約無罰則
25,114年01月份專管工作月報,1,114年02月07日,114年02月03日,甲公司114字第0177號,無逾期,114年02月15日,機關工字第114101868號,機關同意備查,
26,114年02月份專管工作月報,1,114年03月07日,114年03月04日,甲公司114字第0181號,無逾期,114年03月16日,機關工字第114101948號,機關同意備查,
