期數,月報名稱,提送次數,契約提送期限,實際提送日,提送文號,逾期狀況,機關回覆日,機關回覆文號,審查結果,補充說明
27,114年03月份專管工作月報,1,114年04月07日,114年04月05日,甲公司114字第0185號,無逾期,114年04月13日,機關工字第114101980號,機關審退,內容應補正
27,114年03月份專管工作月報,2,114年04月07日,114年04月17日,甲公司114字第0186號,—,114年04月24日,機關工字第114102013號,機關同意備查,修正後同意備查
28,114年04月份專管工作月報,1,114年05月07日,114年05月07日,甲公司114字第0190號,無逾期,114年05月14日,機關工字第114102068號,機關同意備查,
29,114年05月份專管工作月報,1,114年06月07日,114年06月05日,甲公司114字第0193號,無逾期,114年06月17日,機關工字第114102099號,機關審退,內容應補正
29,114年05月份專管工作月報,2,114年06月07日,114年06月22日,甲公司114字第0194號,—,114年06月28日,機關工字第114102146號,機關同意備查,修正後同意備查
30,114年06月份專管工作月報,1,114年07月07日,114年07月05日,甲公司114字第0197號,無逾期,114年07月11日,機關工字第114102201號,機關審退,內容應補正
30,114年06月份專管工作月報,2,114年07月07日,114年07月19日,甲公司114字第0198號,—,114年07月24日,機關工字第114102246號,機關同意備查,修正後同意備查
31,114年07月份專管工作月報,1,114年08月07日,114年08月03日,甲公司114字第0201號,無逾期,114年08月11日,機關工字第114102310號,機關同意備查,
32,114年08月份專管工作月報,1,114年09月07日,114年09月07日,甲公司114字第0204號,無逾期,114年09月13日,機關工字第114102383號,機關審退,內容應補正
32,114年08月份專管工作月報,2,114年09月07日,114年09月18日,甲公司114字第0205號,—,114年09月22日,機關工字第114102419號,機關同意備查,修正後同意備查
33,114年09月份專管工作月報,1,114年10月07日,114年10月12日,甲公司114字第0214號,逾期5日,114年10月18日,機關工字第114102497號,機關審退,契約無罰則；內容應補正
33,114年09月份專管工作月報,2,114年10月07日,114年10月26日,甲公司114字第0215號,—,114年10月28日,機關工字第114102518號,機關同意備查,修正後同意備查
34,114年10月份專管工作月報,1,114年11月07日,114年11月07日,甲公司114字第0218號,無逾期,114年11月17日,機關工字第114102597號,機關同意備查,
35,114年11月份專管工作月報,1,114年12月07日,114年12月06日,甲公司114字第0227號,無逾期,114年12月14日,機關工字第114102631號,機關同意備查,
36,114年12月份專管工作月報,1,115年01月07日,115年01月04日,甲公司115字第0236號,無逾期,115年01月15日,機關工字第115102651號,機關審退,內容應補正
36,114年12月份專管工作月報,2,115年01月07日,115年01月19日,甲公司115字第0237號,—,115年01月26日,機關工字第115102669號,機關審退,仍有缺漏，再退
36,114年12月份專管工作月報,3,115年01月07日,115年01月23日,甲公司115字第0238號,—,115年01月28日,機關工字第115102706號,機關同意備查,修正後同意備查
37,115年01月份專管工作月報,1,115年02月07日,115年02月12日,甲公司115字第0241號,逾期5日,115年02月24日,機關工字第115102778號,機關同意備查,契約無罰則
38,115年02月份專管工作月報,1,115年03月07日,115年03月10日,甲公司115字第0248號,逾期3日,115年03月16日,機關工字第115102799號,機關審退,契約無罰則；內容應補正
38,115年02月份專管工作月報,2,115年03月07日,115年03月22日,甲公司115字第0249號,—,115年03月28日,機關工字第115102840號,機關同意備查,修正後同意備查
39,115年03月份專管工作月報,1,115年04月07日,115年04月12日,甲公司115字第0253號,逾期5日,115年04月17日,機關工字第115102904號,機關同意備查,契約無罰則
40,115年04月份專管工作月報,1,115年05月07日,115年05月12日,甲公司115字第0256號,逾期5日,115年05月23日,機關工字第115102954號,機關同意備查,契約無罰則
41,115年05月份專管工作月報,1,115年06月07日,115年06月04日,甲公司115字第0261號,無逾期,115年06月12日,機關工字第115103023號,機關審退,內容應補正
41,115年05月份專管工作月報,2,115年06月07日,115年06月17日,甲公司115字第0262號,—,115年06月22日,機關工字第115103048號,機關同意備查,修正後同意備查
42,115年06月份專管工作月報,1,115年07月07日,115年07月09日,甲公司115字第0270號,逾期2日,115年07月20日,機關工字第115103104號,機關同意備查,契約無罰則
43,115年07月份專管工作月報,1,115年08月07日,115年08月06日,甲公司115字第0277號,無逾期,115年08月15日,機關工字第115103162號,機關審退,內容應補正
43,115年07月份專管工作月報,2,115年08月07日,115年08月19日,甲公司115字第0278號,—,115年08月27日,機關工字第115103207號,機關同意備查,修正後同意備查
44,115年08月份專管工作月報,1,115年09月07日,115年09月07日,甲公司115字第0283號,無逾期,,,審查中,
